x0_1;x0_2;x1_out;x2_out;norm_out;y_out;f_calls_out;x1_in;x2_in;norm_in;y_in;f_calls_in
85 ;3,89082 ;5,45422 ;2,94394 ;2,60089 ;3,92828 ;-0,180236;  166 ;2,00644 ;2,11343 ;2,91417 ;2,32751;  207 
86 ;3,12114 ;4,7971 ;2,60823 ;3,04937 ;4,01267 ;-0,190411;  109 ;1,9899 ;2,09377 ;2,88853 ;2,34602;  203 
87 ;4,49484 ;2,95732 ;2,56325 ;3,07272 ;4,00148 ;-0,189288;  515 ;2,16076 ;1,99715 ;2,94236 ;11,3067;  158 
88 ;1,7046 ;4,65012 ;2,75887 ;2,94175 ;4,03303 ;-0,191265;  107 ;1,98602 ;2,08876 ;2,88222 ;2,35082;  197 
89 ;3,47601 ;2,33792 ;2,91917 ;2,7368 ;4,00145 ;-0,189288;  513 ;2,15318 ;2,02096 ;2,95305 ;56,0992;  103 
90 ;2,75394 ;3,43609 ;2,95367 ;2,70894 ;4,00781 ;-0,189963;  165 ;2,13383 ;2,15079 ;3,0297 ;11,1631;  150 
91 ;2,79276 ;4,93382 ;2,68141 ;2,97041 ;4,00166 ;-0,189287;  519 ;1,89925 ;2,10951 ;2,83852 ;11,6024;  152 
92 ;2,61759 ;5,0255 ;2,66703 ;2,98317 ;4,00154 ;-0,189288;  519 ;1,87356 ;2,08929 ;2,80631 ;11,7193;  156 
93 ;2,08571 ;4,06697 ;1,1127 ;3,82243 ;3,98108 ;-0,18696;  116 ;2,05556 ;2,13417 ;2,9631 ;11,2339;  154 
94 ;2,59586 ;3,71418 ;3,2614 ;2,31857 ;4,00156 ;-0,189288;  519 ;2,10789 ;2,14934 ;3,01046 ;11,1764;  154 
95 ;1,87526 ;1,95155 ;2,49005 ;3,08613 ;3,96542 ;-0,185037;  154 ;1,87526 ;1,95155 ;2,7065 ;296,809;  48 
96 ;2,72111 ;5,38415 ;1,6455 ;3,66517 ;4,01761 ;-0,190742;  112 ;1,90983 ;2,13825 ;2,86698 ;2,38278;  203 
97 ;4,58005 ;5,13878 ;3,70224 ;1,45057 ;3,97628 ;-0,186376;  115 ;2,03677 ;2,12373 ;2,94255 ;11,2676;  162 
98 ;3,91975 ;3,51569 ;2,8672 ;2,79135 ;4,00156 ;-0,189288;  515 ;2,15566 ;2,12314 ;3,02566 ;11,1662;  158 
99 ;2,97966 ;1,62683 ;3,57329 ;1,79942 ;4,00079 ;-0,189238;  659 ;2,16367 ;2,04171 ;2,9749 ;11,2351;  152 
100 ;5,18297 ;2,17617 ;2,92337 ;2,73233 ;4,00147 ;-0,189288;  515 ;2,10552 ;1,8656 ;2,81312 ;11,7242;  158 
1 ;3,74921 ;4,76048 ;3,0446 ;3,27692 ;4,47301 ;-0,217188;  215 ;2,32273 ;2,38642 ;3,33018 ;9,2916;  148 
2 ;4,36996 ;4,11043 ;3,14765 ;3,15645 ;4,45768 ;-0,217094;  163 ;2,36433 ;2,37222 ;3,34925 ;9,28132;  156 
3 ;3,68769 ;3,04289 ;2,73011 ;3,56467 ;4,49004 ;-0,217232;  164 ;2,37835 ;2,34618 ;3,34082 ;9,28464;  160 
4 ;5,26904 ;4,05733 ;3,07537 ;3,27486 ;4,4925 ;-0,217234;  110 ;2,41422 ;2,17358 ;3,24852 ;9,41711;  160 
5 ;2,26711 ;4,989 ;3,16514 ;3,1865 ;4,49131 ;-0,217233;  107 ;2,32182 ;2,38642 ;3,32954 ;9,29199;  156 
6 ;3,54083 ;5,41882 ;3,30102 ;2,97194 ;4,44175 ;-0,216942;  159 ;2,34246 ;2,38005 ;3,33942 ;9,28547;  156 
7 ;4,12813 ;2,14064 ;3,27106 ;3,00896 ;4,44451 ;-0,216972;  158 ;2,3872 ;2,31832 ;3,32766 ;9,29338;  158 
8 ;2,17104 ;4,40426 ;3,40129 ;2,92273 ;4,48455 ;-0,217225;  164 ;2,32678 ;2,38499 ;3,33198 ;9,29019;  156 
9 ;3,14373 ;3,37237 ;3,02883 ;3,29921 ;4,47868 ;-0,21721;  103 ;2,37774 ;2,34776 ;3,3415 ;9,28429;  160 
10 ;5,05431 ;3,77778 ;3,22838 ;3,06524 ;4,45176 ;-0,217044;  109 ;2,36514 ;2,3716 ;3,34939 ;46,6527;  105 
11 ;1,68043 ;3,61005 ;3,12797 ;3,17874 ;4,45966 ;-0,217109;  156 ;2,43728 ;3,18997 ;4,0145 ;-0,170119;  354 
12 ;3,33599 ;4,33077 ;2,89226 ;3,41792 ;4,47743 ;-0,217206;  162 ;2,33026 ;2,38384 ;3,33358 ;9,28903;  152 
13 ;4,67869 ;4,08992 ;3,15259 ;3,17501 ;4,47432 ;-0,217194;  162 ;2,36321 ;2,3726 ;3,34873 ;9,28147;  156 
14 ;3,13836 ;4,20687 ;2,10997 ;3,9631 ;4,48978 ;-0,217232;  113 ;2,33194 ;2,38336 ;3,33442 ;9,28849;  152 
15 ;2,17788 ;3,27996 ;2,86443 ;3,44454 ;4,47993 ;-0,217214;  156 ;2,21338 ;2,41772 ;3,27786 ;9,36731;  148 
16 ;5,29272 ;2,2029 ;3,28963 ;3,02359 ;4,46808 ;-0,217164;  160 ;2,38667 ;2,32141 ;3,32944 ;9,29212;  160 
17 ;3,91426 ;3,59259 ;3,59813 ;2,68778 ;4,49118 ;-0,217233;  215 ;2,38248 ;2,3345 ;3,33558 ;9,28771;  156 
18 ;1,70508 ;3,17266 ;3,18724 ;3,12402 ;4,46296 ;-0,217132;  209 ;2,30518 ;2,41725 ;3,3402 ;1,81207;  199 
19 ;3,61029 ;5,00902 ;3,32172 ;2,99022 ;4,46937 ;-0,217171;  162 ;2,32024 ;2,3869 ;3,32878 ;9,29259;  152 
20 ;2,98064 ;1,65491 ;2,85126 ;3,44993 ;4,47568 ;-0,217199;  209 ;2,33183 ;2,39313 ;3,34133 ;1,80994;  203 
21 ;4,5886 ;2,7443 ;3,23004 ;3,09141 ;4,47101 ;-0,217179;  111 ;2,37718 ;2,34932 ;3,3422 ;9,28395;  156 
22 ;1,92872 ;1,8556 ;3,17872 ;3,1056 ;4,44399 ;-0,216966;  106 ;2,35724 ;2,35163 ;3,32968 ;46,6628;  103 
23 ;4,32736 ;4,07613 ;3,30785 ;3,02924 ;4,48533 ;-0,217227;  163 ;2,36655 ;2,36674 ;3,34694 ;46,6529;  105 
24 ;3,57843 ;2,10451 ;2,89462 ;3,38137 ;4,45112 ;-0,217038;  158 ;2,28398 ;2,39768 ;3,31141 ;1,82123;  209 
25 ;1,58863 ;5,46203 ;2,97485 ;3,349 ;4,47946 ;-0,217212;  160 ;2,32069 ;2,38684 ;3,32906 ;9,2924;  152 
26 ;2,324 ;1,91505 ;3,90556 ;2,09379 ;4,4314 ;-0,216812;  156 ;2,20222 ;2,38859 ;3,24887 ;47,0763;  97 
27 ;3,74152 ;5,07152 ;3,04001 ;3,24036 ;4,44315 ;-0,216957;  109 ;2,32351 ;2,38596 ;3,3304 ;9,29135;  152 
28 ;4,83128 ;3,76911 ;2,87855 ;3,42151 ;4,47133 ;-0,21718;  162 ;2,36654 ;2,36635 ;3,34665 ;46,6529;  105 
29 ;1,9037 ;3,85664 ;3,23533 ;3,09694 ;4,47866 ;-0,21721;  158 ;2,43622 ;3,19078 ;4,0145 ;-0,170117;  356 
30 ;3,32391 ;3,75495 ;3,52739 ;2,77448 ;4,48779 ;-0,21723;  217 ;2,37086 ;2,35879 ;3,34438 ;46,6543;  109 
31 ;3,53168 ;2,28689 ;3,23473 ;3,06005 ;4,4528 ;-0,217053;  158 ;2,39752 ;2,36313 ;3,36637 ;1,80295;  209 
32 ;1,87953 ;3,18059 ;2,91681 ;3,3504 ;4,44218 ;-0,216946;  156 ;2,38215 ;2,39993 ;3,38146 ;1,79947;  203 
33 ;2,0779 ;1,87342 ;2,96025 ;3,35995 ;4,47799 ;-0,217208;  157 ;2,35343 ;2,37628 ;3,34445 ;9,28304;  154 
34 ;4,358 ;3,28936 ;3,4355 ;2,86215 ;4,47153 ;-0,217181;  162 ;2,39643 ;2,2854 ;3,31148 ;9,3096;  156 
35 ;5,34606 ;2,60648 ;3,34328 ;2,93164 ;4,44657 ;-0,216994;  211 ;2,38608 ;2,32264 ;3,32987 ;9,2917;  156 
36 ;2,58683 ;3,20171 ;2,98782 ;3,35279 ;4,49091 ;-0,217233;  103 ;2,11751 ;2,41993 ;3,21558 ;9,50375;  152 
37 ;2,16396 ;5,43298 ;3,24273 ;3,08643 ;4,47675 ;-0,217203;  160 ;2,32824 ;2,38447 ;3,33263 ;9,2897;  156 
38 ;5,43078 ;3,20855 ;2,77378 ;3,49537 ;4,46223 ;-0,217128;  159 ;2,38455 ;2,32692 ;3,33177 ;9,2902;  156 
39 ;5,00475 ;2,89714 ;3,23579 ;3,06758 ;4,45875 ;-0,217102;  209 ;2,38173 ;2,33707 ;3,33685 ;9,28694;  156 
40 ;3,36773 ;1,54138 ;4,05644 ;1,70115 ;4,39871 ;-0,216246;  105 ;2,39995 ;2,35551 ;3,36277 ;1,80396;  213 
41 ;4,17562 ;3,07121 ;3,9414 ;2,06334 ;4,44882 ;-0,217016;  113 ;2,3767 ;2,35197 ;3,34372 ;9,28334;  156 
42 ;5,19921 ;2,74406 ;3,34131 ;2,98452 ;4,48015 ;-0,217214;  209 ;2,38429 ;2,3277 ;3,33212 ;9,28994;  156 
43 ;3,20379 ;1,89918 ;3,91982 ;1,99932 ;4,40026 ;-0,216279;  105 ;2,3268 ;2,37316 ;3,32354 ;9,29252;  152 
44 ;1,51648 ;1,77027 ;4,01648 ;1,77027 ;4,3893 ;-0,216039;  106 ;2,42233 ;2,20066 ;3,2727 ;9,38066;  156 
45 ;3,04155 ;5,0808 ;3,16586 ;3,18494 ;4,49071 ;-0,217233;  211 ;2,32228 ;2,38615 ;3,32967 ;9,29184;  156 
46 ;3,55158 ;1,93446 ;3,38981 ;2,87445 ;4,44447 ;-0,216972;  156 ;2,3356 ;2,39287 ;3,34377 ;1,80916;  207 
47 ;4,71763 ;2,61759 ;3,32233 ;3,00077 ;4,47689 ;-0,217204;  111 ;2,38037 ;2,34106 ;3,33867 ;9,28586;  156 
48 ;4,03475 ;2,83671 ;2,91424 ;3,33296 ;4,42735 ;-0,216755;  164 ;2,37813 ;2,34704 ;3,34127 ;9,28443;  160 
49 ;2,058 ;5,15111 ;3,01411 ;3,30358 ;4,47197 ;-0,217184;  107 ;2,32292 ;2,38602 ;3,33002 ;9,29159;  156 
50 ;4,68516 ;4,39145 ;3,07981 ;3,26452 ;4,48802 ;-0,21723;  163 ;2,3935 ;2,2972 ;3,31752 ;9,303;  160 
51 ;2,10256 ;5,21166 ;2,97461 ;3,34672 ;4,47759 ;-0,217206;  107 ;2,32443 ;2,38572 ;3,33086 ;9,29101;  156 
52 ;4,9597 ;3,08159 ;3,32069 ;2,9828 ;4,46364 ;-0,217137;  156 ;2,37922 ;2,34381 ;3,33978 ;9,2852;  156 
53 ;4,84202 ;4,50913 ;2,89245 ;3,42646 ;4,48407 ;-0,217224;  163 ;2,38833 ;2,31492 ;3,32611 ;9,29473;  160 
54 ;4,6843 ;2,56461 ;2,98719 ;3,35392 ;4,49134 ;-0,217233;  111 ;2,37978 ;2,34165 ;3,33866 ;9,28577;  156 
55 ;3,89961 ;2,38601 ;3,4807 ;2,80487 ;4,47019 ;-0,217175;  158 ;2,3877 ;2,31754 ;3,32748 ;9,29364;  158 
56 ;3,19256 ;2,75492 ;2,81727 ;3,49935 ;4,49249 ;-0,217234;  158 ;2,40698 ;2,23847 ;3,28699 ;9,3443;  156 
57 ;3,78437 ;2,56021 ;2,99952 ;3,34039 ;4,48947 ;-0,217232;  158 ;2,38646 ;2,32134 ;3,32923 ;9,29219;  158 
58 ;3,5987 ;1,50793 ;4,16764 ;1,65261 ;4,48334 ;-0,217223;  105 ;2,70005 ;2,94665 ;3,99662 ;-0,168872;  358 
59 ;3,33782 ;5,28198 ;3,15052 ;3,16173 ;4,46344 ;-0,217136;  162 ;2,33433 ;2,38274 ;3,33565 ;9,28773;  156 
60 ;4,82627 ;5,03099 ;3,31184 ;2,94462 ;4,4316 ;-0,216815;  217 ;2,33172 ;2,38364 ;3,33447 ;9,28852;  152 
61 ;5,00316 ;2,0287 ;3,40231 ;2,91938 ;4,48314 ;-0,217222;  217 ;2,38505 ;2,32556 ;3,33117 ;9,29066;  160 
62 ;2,0215 ;5,14501 ;2,98775 ;3,29917 ;4,45098 ;-0,217037;  107 ;2,32308 ;2,38616 ;3,33023 ;9,2915;  156 
63 ;3,53754 ;3,86665 ;3,23492 ;3,05138 ;4,44698 ;-0,216998;  111 ;2,37609 ;2,35051 ;3,34226 ;46,6576;  105 
64 ;1,97377 ;3,52374 ;2,90353 ;3,36922 ;4,44771 ;-0,217005;  156 ;2,39304 ;2,37308 ;3,37018 ;1,80192;  211 
65 ;1,79664 ;4,59799 ;3,19275 ;3,02931 ;4,40118 ;-0,216297;  164 ;2,32073 ;2,38667 ;3,32896 ;9,29241;  156 
66 ;2,16787 ;5,03429 ;3,09346 ;3,21921 ;4,46462 ;-0,217143;  107 ;2,3219 ;2,38652 ;3,32967 ;9,29194;  156 
67 ;3,21306 ;1,82508 ;3,92755 ;1,93757 ;4,37948 ;-0,215801;  105 ;2,31935 ;2,37306 ;3,31825 ;9,29586;  148 
68 ;4,09627 ;4,30319 ;3,04138 ;3,29328 ;4,48282 ;-0,217221;  163 ;2,35306 ;2,37632 ;3,34421 ;9,28312;  156 
69 ;4,59616 ;5,05187 ;3,38173 ;2,95671 ;4,49202 ;-0,217233;  110 ;2,31698 ;2,38797 ;3,32728 ;9,29385;  152 
70 ;5,45202 ;3,63556 ;3,00513 ;3,33576 ;4,48978 ;-0,217232;  159 ;2,31959 ;2,39465 ;3,33389 ;1,81249;  209 
71 ;2,87626 ;1,95009 ;2,9444 ;3,33572 ;4,44932 ;-0,217021;  209 ;2,2956 ;2,37474 ;3,3029 ;9,30833;  148 
72 ;1,83106 ;2,40994 ;2,78541 ;3,50643 ;4,47812 ;-0,217208;  158 ;2,34637 ;2,37859 ;3,34113 ;9,28455;  152 
