Lp.;x1(0);x2(0);x1* (hooke);x2* (hooke);y (hooke);f_calls;x1* (rosen);x2* (rosen);y (rosen);f_calls;1;-0.65;-0.32;-0.867;-0.0274;0,90904; ;280;-0.794942;-0.0033665;0,633213; ;109
49;-0.75;-0.44;-0.7581;-0.7721;1,25008; ;369;-0.75;-0.44;2,78496; ;3
50;0.31;0;0.0019;0;0,000114837; ;394;0.31;0;1,8557; ;3
51;0.36;0.19;0.044;-0.0918;0,318033; ;381;0.36;0.19;3,0371; ;3
52;0.31;0.24;0.0325;-0.0333;0,0685056; ;368;0.31;0.24;3,22141; ;3
53;0.64;0.09;0.7576;-0.022;0,645245; ;188;0.77511;-0.000140919;0,620447; ;95
54;0.78;-0.6;0.7751;-0.7768;1,24098; ;273;0.78;-0.6;1,98359; ;3
55;-0.45;0.18;-0.7275;-0.0735;0,85589; ;359;-0.45;0.18;3,00232; ;3
56;-0.12;0.73;-0.0072;0.8086;0,657551; ;163;-3.8535e-06;0.775072;0,620446; ;125
57;-0.92;0.23;-0.7294;0.0284;0,708943; ;267;-0.784159;-0.0138137;0,629092; ;71
58;-0.72;0.2;-0.8224;-0.0014;0,691272; ;286;-0.72;0.2;1,75028; ;3
59;-0.1;-0.64;0.0195;-0.7625;0,637425; ;206;-0.00325668;-0.777491;0,620965; ;69
60;-0.87;0.12;-0.7631;0.0119;0,629398; ;192;-0.777432;-0.0170736;0,629878; ;69
61;0.97;-0.41;0.6609;-0.0359;1,01959; ;322;0.923161;0.0583917;1,38832; ;33
62;0.27;0.06;-0.0071;-0.0535;0,0913663; ;332;0.27;0.06;1,70697; ;3
63;-0.37;-0.05;0.0039;0.0161;0,00871898; ;319;-2.78632e-05;6.84511e-06;2,61874e-08; ;189
64;0.63;-0.11;0.7626;0.0196;0,637472; ;162;0.771613;0.00618951;0,62204; ;59
65;0.03;-0.06;-0.0156;-0.0072;0,00938089; ;123;4.05212e-07;-6.08142e-08;5,34084e-12; ;227
66;0.89;-0.61;0.7471;-0.7585;1,27338; ;267;0.89;-0.61;2,32546; ;3
67;0.66;-0.28;0.8556;-0.0244;0,843339; ;241;0.769537;0.00209421;0,621543; ;59
68;0.63;0.3;0.8548;0.0372;0,864188; ;312;0.775056;-1.37339e-05;0,620446; ;199
69;0.33;-0.07;-0.0097;0.0541;0,09475; ;376;0.321979;0.0102105;1,9243; ;27
70;0.22;0.88;0.0247;0.7153;0,745991; ;297;0.22;0.88;2,1673; ;3
71;0.63;0.62;0.7783;0.7685;1,24256; ;167;0.774269;0.775858;1,24093; ;53
72;0.61;0.71;0.764;0.822;1,31427; ;189;0.775096;0.775062;1,24089; ;111
73;-0.15;0.42;0.1038;0.744;0,974757; ;270;-2.0503e-05;0.775027;0,620446; ;143
74;-0.56;0.27;-0.8055;0.0215;0,664301; ;349;-0.56;0.27;3,21922; ;3
75;0.78;-0.43;0.7751;-0.7784;1,24124; ;393;0.78;-0.43;2,77887; ;3
76;-0.61;0.75;-0.7751;0.7821;1,24243; ;267;-0.813009;0.768766;1,28756; ;111
77;0.16;0.18;-0.0105;0.0089;0,00602404; ;292;0.16;0.18;1,59123; ;3
78;-0.19;0.32;0.0693;0.0425;0,206105; ;314;-1.2878e-06;-2.88389e-06;3,17325e-10; ;215
79;0.65;0.96;0.8081;0.7947;1,2874; ;241;0.775178;0.774964;1,24089; ;101
80;-0.79;-0.32;-0.7706;-0.004;0,621581; ;279;-0.775083;-2.5844e-08;0,620446; ;175
81;-0.09;0.62;0.0346;0.7578;0,667529; ;171;-3.9911e-08;0.775083;0,620446; ;165
82;0.07;-0.43;-0.0518;-0.7864;0,708687; ;373;0.07;-0.43;2,30978; ;3
83;0.86;-0.78;0.7741;-0.7743;1,24094; ;187;0.751533;-0.777374;1,25811; ;109
84;0.39;0.19;0.0414;-0.108;0,40409; ;397;0.39;0.19;3,10578; ;3
