


Wspolczynnik ekspansji: 1.41
Lp.;x(0);a;b;fcalls_Eksp;x*_Fib;y*_Fib;fcalls_Fib;Minimum lokalne/globalne;x*_Lagr;y*_Lagr;fcalls_Lagr;Minimum lokalne/globalne
71;-94;-15,8871;16,1392;0;-0,000313665;  1,96771e-12;  34;lokalne;2,51139e-13;  -7,44939e-18;  12;lokalne
72;-9;0,9405;5,0161;0;0,947181;  1,7943e-05;  26;lokalne;-2,33643e-11;  -7,44939e-18;  5;lokalne
73;30;-9,29024;2,13458;0;0,00271138;  1,47032e-10;  30;lokalne;7,0974e-13;  -7,44939e-18;  10;lokalne
74;71;61,0595;63,95;0;62,7233;  -0,921198;  24;globalne;62,727;  -0,921198;  16;globalne
75;51;60,9405;65,0161;0;62,7244;  -0,921198;  26;globalne;62,727;  -0,921198;  14;globalne
76;-93;-14,8871;17,1392;0;-0,00376864;  2,84053e-10;  34;lokalne;4,67586e-13;  -7,44939e-18;  12;lokalne
77;2;-3;7;0;-0,000626174;  7,84187e-12;  30;lokalne;6,17223e-13;  -7,44939e-18;  12;lokalne
78;94;54,7098;66,1346;0;62,7293;  -0,921198;  30;globalne;62,727;  -0,921198;  24;globalne
79;49;63,0161;68,7627;0;63,0255;  -0,91986;  26;globalne;61,8325;  -0,909274;  5;globalne
80;-70;8,11293;40,1392;0;8,12059;  0,00131888;  34;lokalne;4,34456;  0,000377504;  5;lokalne
81;-76;2,11293;34,1392;0;2,12059;  8,99377e-05;  34;lokalne;0,250879;  1,2588e-06;  5;lokalne
82;-15;-0,983895;4,76271;0;-0,00414628;  3,43833e-10;  26;lokalne;3,98295e-13;  -7,44939e-18;  12;lokalne
83;55;62,05;64,9405;0;62,7247;  -0,921198;  24;globalne;62,727;  -0,921198;  20;globalne
84;57;62;64,05;0;62,7303;  -0,921198;  22;globalne;62,727;  -0,921198;  14;globalne
85;-59;-3,60076;19,1129;0;0,00319021;  2,03549e-10;  32;lokalne;5,06954e-11;  -7,44939e-18;  12;lokalne
86;67;59,95;62;0;61,9912;  -0,913113;  22;globalne;62,8876;  -0,920811;  5;globalne
87;77;57,2373;62,9839;0;62,7295;  -0,921198;  26;globalne;63,1703;  -0,918248;  5;globalne
88;32;-7,29024;4,13458;0;-0,000388194;  3,01389e-12;  30;lokalne;1,79032e-12;  -7,44939e-18;  12;lokalne
89;9;-5,0161;-0,9405;0;-0,947181;  1,7943e-05;  26;lokalne;4,86864e-14;  -7,44939e-18;  5;lokalne
90;45;64,7627;72,8654;0;64,7709;  -0,859967;  28;globalne;-58,5807;  0,0686339;  5;globalne
91;-60;-4,60076;18,1129;0;-0,00352546;  2,48577e-10;  32;lokalne;2,67582e-11;  -7,44939e-18;  12;lokalne
92;-73;5,11293;37,1392;0;5,12059;  0,000524408;  34;lokalne;1,33413;  3,55983e-05;  5;lokalne
93;24;-15,2902;-3,86542;0;-3,87257;  0,000299936;  30;lokalne;7,44495e-15;  -7,44939e-18;  5;lokalne
94;38;-17,3992;-1,29024;0;-1,29647;  3,36169e-05;  32;lokalne;5,31171e-15;  -7,44939e-18;  5;lokalne
95;39;-16,3992;-0,29024;0;-0,296474;  1,75794e-06;  32;lokalne;2,25748e-14;  -7,44939e-18;  5;lokalne
96;19;-8,86542;-0,762708;0;-0,770917;  1,18863e-05;  28;lokalne;2,8696e-14;  -7,44939e-18;  5;lokalne
97;-17;2,76271;10,8654;0;2,77092;  0,00015356;  28;lokalne;-6,17247e-09;  -7,44862e-18;  5;lokalne
98;30;-9,29024;2,13458;0;0,00271138;  1,47032e-10;  30;lokalne;7,0974e-13;  -7,44939e-18;  10;lokalne
99;42;-13,3992;2,70976;0;-0,00208751;  8,71537e-11;  32;lokalne;1,1937e-12;  -7,44939e-18;  10;lokalne
