Sigma;i;x1;x2;f(x);Liczba_wywolan
0,1;50;1,11459e-05;0,000534553;9,09392e-06;2031
0,1;51;-0,000369519;-1,93069e-05;4,3555e-06;2855
0,1;52;-0,000208165;-0,000152033;2,11376e-06;1363
0,1;53;-0,000217859;9,12099e-05;1,77449e-06;1195
0,1;54;0,000122492;-0,000149597;1,18921e-06;1683
0,1;55;-0,775083;-5,07122e-10;0,620446;10020
0,1;56;-0,000323371;0,000312339;6,42982e-06;1596
0,1;57;-0,775083;2,14113e-10;0,620446;10020
0,1;58;-0,000103949;0,000501224;8,33553e-06;1319
0,1;59;4,5083e-05;0,00030834;3,08907e-06;1661
0,1;60;0,000134652;-0,000148321;1,27659e-06;1235
0,1;61;7,61221e-05;-0,000448717;6,58943e-06;1485
0,1;62;0,000168907;0,000339683;4,57808e-06;1358
0,1;63;-0,000160831;0,00023156;2,52857e-06;1894
0,1;64;-0,000273976;-0,000286961;5,00739e-06;960
0,1;65;-0,000263937;-0,000358791;6,31116e-06;2502
0,1;66;-0,000198243;0,000392612;6,1537e-06;2491
0,1;67;-0,000278509;6,60229e-05;2,60618e-06;1366
0,1;68;-0,000188752;0,000369403;5,47428e-06;1655
0,1;69;-9,07681e-05;0,000102997;5,99556e-07;1628
0,1;70;0,00026602;-4,29073e-05;2,30974e-06;2666
0,1;71;-0,775083;-8,10497e-10;0,620446;10020
0,1;72;-0,000351168;-8,05824e-05;4,12949e-06;3806
0,1;73;-0,000385348;-0,000137354;5,32389e-06;1337
0,1;74;0,000179051;-0,000436884;7,09158e-06;1236
0,1;75;0,000165267;8,03606e-05;1,0743e-06;1462
0,1;76;0,000548032;5,01065e-05;9,63403e-06;1128
0,1;77;0,000215623;9,35342e-06;1,4818e-06;1362
0,1;78;1,81112e-05;0,000469605;7,02573e-06;1534
0,1;79;0,000437863;-7,81016e-05;6,29303e-06;1435
0,1;80;-0,000240722;-0,000429822;7,72039e-06;1913
0,1;81;-0,000151664;0,000229835;2,41212e-06;1128
0,1;82;0,000126024;-0,00041446;5,96966e-06;1955
0,1;83;-2,99564e-05;-0,000459306;6,73951e-06;880
0,1;84;0,000103787;-6,96036e-05;4,96778e-07;1221
0,1;85;0,000147902;0,000522083;9,36666e-06;802
0,1;86;4,67444e-05;0,000108973;4,47271e-07;1333
0,1;87;0,000153738;0,000444931;7,04934e-06;1345
0,1;88;-0,00037331;0,00015379;5,18561e-06;1224
0,1;89;0,000366247;-6,9593e-05;4,42112e-06;2055
0,1;90;-0,000300517;0,000421533;8,52541e-06;1462
0,1;91;0,000166568;0,000481404;8,25484e-06;1487
0,1;92;-0,00048307;-0,000128738;7,95057e-06;2178
0,1;93;-0,000268099;4,58865e-05;2,35347e-06;2032
0,1;94;-0,000308352;0,000360996;7,17023e-06;1025
0,1;95;0,00032254;1,53187e-05;3,31685e-06;1639
0,1;96;-0,000333129;0,000417594;9,07763e-06;1028
