Lp;x0_1;x0_2;SD_x1;SD_x2;SD_y;SD_f_calls;SD_g_calls;SD_global;CG_x1;CG_x2;CG_y;CG_f_calls;CG_g_calls;CG_global;N_x1;N_x2;N_y;N_f_calls;N_g_calls;N_H_calls;N_global
82;-1,84265;1,23386;-1,74842;0,882748;0,298716;37;37;TAK;-1,7478;0,875814;0,298642;16;17;TAK;-1,75341;0,891863;0,29907;59;59;59;TAK
83;-1,72204;1,13645;-1,74839;0,882362;0,298709;34;34;TAK;-1,74761;0,875865;0,298643;15;16;TAK;-1,7459;0,892076;0,29902;52;52;52;TAK
84;-1,84387;1,60643;-1,74842;0,882714;0,298715;44;44;TAK;-1,74766;0,875545;0,298641;18;19;TAK;-1,75063;0,892357;0,298984;72;72;72;TAK
85;-0,157414;1,02768;-0,00416599;0,0100562;9,39431e-05;55;55;TAK;-0,000969687;0,00225376;4,77457e-06;20;21;TAK;-0,00278863;0,0187601;0,00031518;78;78;78;TAK
86;-1,17063;0,241646;-1,74671;0,865188;0,298709;50;50;TAK;nan;nan;nan;10000;10001;NIE;-1,07655;0,517814;0,877701;55;55;55;TAK
87;0,885952;-1,69127;1,74669;-0,865013;0,298712;49;49;TAK;nan;nan;nan;10000;10001;NIE;1,06795;-0,553563;0,877731;81;81;81;TAK
88;-0,0213019;-0,864467;0,00414076;-0,00999701;9,28364e-05;52;52;TAK;0,000362911;-0,00163565;2,34517e-06;20;21;TAK;-0,000454395;-0,0184511;0,00034924;75;75;75;TAK
89;1,21812;-1,84692;1,74845;-0,882959;0,298719;45;45;TAK;1,7476;-0,875662;0,298642;18;19;TAK;1,07263;-0,553843;0,877659;83;83;83;TAK
90;-1,72607;1,70959;-1,74844;0,882883;0,298718;45;45;TAK;-1,74788;0,875838;0,298643;18;19;TAK;-1,7471;0,892569;0,299001;74;74;74;TAK
91;0,279977;-0,876919;0,00414394;-0,0100023;9,29415e-05;54;54;TAK;0,0011211;-0,00201057;4,30205e-06;20;21;TAK;0,00510911;-0,017497;0,000268955;76;76;76;TAK
92;1,37376;0,951628;1,74668;-0,864844;0,298715;56;56;TAK;nan;nan;nan;10000;10001;NIE;1,07379;-0,517001;0,877734;86;86;86;TAK
93;1,2197;-0,559526;1,74663;-0,864377;0,298723;41;41;TAK;nan;nan;nan;10000;10001;NIE;1,08865;-0,538183;0,87668;41;41;41;TAK
94;1,61461;0,845668;1,74667;-0,864763;0,298716;53;53;TAK;1,74736;-0,872115;0,298641;20;21;TAK;1,74658;-0,85518;0,298972;88;88;88;TAK
95;-0,898282;-1,14206;0,00440263;-0,0106667;0,000105583;47;47;TAK;0,00113424;-0,00244072;5,76174e-06;18;19;TAK;-1,06884;0,516985;0,877659;88;88;88;TAK
96;-1,10349;-1,78307;0,00442579;-0,0106971;0,00010626;53;53;TAK;0,00158657;-0,00260946;7,7036e-06;18;19;TAK;-1,07081;0,5166;0,877715;94;94;94;TAK
97;-0,124454;0,257271;-0,00437093;0,0105476;0,000103358;39;39;TAK;-0,000754637;0,00173246;2,833e-06;17;18;TAK;-0,00804678;0,0168906;0,000278873;53;53;53;TAK
98;0,388989;-1,88574;0,00429348;-0,0103625;9,97571e-05;63;63;TAK;0,000388373;-0,00197545;3,43687e-06;21;22;TAK;0,00311117;-0,0182792;0,000296619;90;90;90;TAK
99;-1,27622;1,09897;-1,74846;0,883135;0,298723;23;23;TAK;-1,74733;0,871749;0,298642;12;13;TAK;-1,07664;0,552407;0,877479;68;68;68;TAK
100;-1,31907;1,85827;-1,74842;0,882675;0,298714;46;46;TAK;-1,74784;0,875615;0,298642;19;20;TAK;-1,07385;0,553897;0,877626;83;83;83;TAK
