Czas;x1_sym;x2_sym;x1_exp;x2_exp
36,2;1,24057;2,26004;1;2
36,3;1,24056;2,26018;1;2
36,4;1,2405;2,26027;1;2
36,5;1,24039;2,26032;1;2
36,6;1,24024;2,26031;1;2
36,7;1,24004;2,26025;1;2
36,8;1,2398;2,26016;1;2
36,9;1,23952;2,26002;1;2
37;1,23921;2,25984;1;2
37,1;1,23888;2,25963;1;2
37,2;1,23851;2,25939;1;2
37,3;1,23813;2,25913;1;2
37,4;1,23773;2,25884;1;2
37,5;1,23732;2,25854;1;2
37,6;1,23691;2,25823;1;2
37,7;1,23649;2,25791;1;2
37,8;1,23608;2,25759;1;2
37,9;1,23567;2,25728;1;2
38;1,23527;2,25697;1;2
38,1;1,23489;2,25667;1;2
38,2;1,23453;2,25639;1;2
38,3;1,23419;2,25612;1;2
38,4;1,23387;2,25588;1;2
38,5;1,23358;2,25567;1;2
38,6;1,23331;2,25548;1;2
38,7;1,23308;2,25532;1;2
38,8;1,23288;2,25519;1;2
38,9;1,2327;2,25509;1;2
39;1,23256;2,25503;1;2
39,1;1,23246;2,255;1;2
39,2;1,23238;2,255;1;2
39,3;1,23233;2,25504;1;2
39,4;1,23231;2,2551;1;2
39,5;1,23232;2,2552;1;2
39,6;1,23236;2,25532;1;2
39,7;1,23241;2,25547;1;2
39,8;1,23249;2,25565;1;2
39,9;1,23258;2,25584;1;2
40;1,23269;2,25606;1;2
40,1;1,23281;2,25629;1;2
40,2;1,23294;2,25653;1;2
40,3;1,23308;2,25679;1;2
40,4;1,23322;2,25705;1;2
40,5;1,23336;2,25731;1;2
40,6;1,2335;2,25758;1;2
40,7;1,23363;2,25784;1;2
40,8;1,23376;2,2581;1;2
40,9;1,23387;2,25836;1;2
41;1,23397;2,2586;1;2
41,1;1,23406;2,25883;1;2
41,2;1,23413;2,25905;1;2
41,3;1,23419;2,25925;1;2
41,4;1,23422;2,25944;1;2
41,5;1,23424;2,2596;1;2
41,6;1,23424;2,25975;1;2
41,7;1,23421;2,25987;1;2
41,8;1,23416;2,25998;1;2
41,9;1,2341;2,26007;1;2
42;1,23401;2,26013;1;2
42,1;1,2339;2,26017;1;2
42,2;1,23378;2,2602;1;2
42,3;1,23363;2,2602;1;2
42,4;1,23347;2,26019;1;2
42,5;1,2333;2,26016;1;2
42,6;1,23311;2,26012;1;2
42,7;1,23291;2,26006;1;2
42,8;1,2327;2,26;1;2
42,9;1,23248;2,25992;1;2
43;1,23225;2,25983;1;2
43,1;1,23202;2,25974;1;2
43,2;1,23179;2,25964;1;2
43,3;1,23155;2,25955;1;2
43,4;1,23132;2,25945;1;2
43,5;1,23109;2,25935;1;2
43,6;1,23086;2,25926;1;2
