


Wspolczynnik ekspansji: 1.38
Lp.;x(0);a;b;fcalls_Eksp;x*_Fib;y*_Fib;fcalls_Fib;Minimum lokalne/globalne;x*_Lagr;y*_Lagr;fcalls_Lagr;Minimum lokalne/globalne
69;75;56,8663;61,8596;4;61,8515;  -0,909166;  26;globalne;64,1718;  -0,89104;  5;globalne
70;-12;1,14036;6,1337;4;1,14855;  2,63831e-05;  26;lokalne;-6,9727e-11;  -7,15717e-18;  5;lokalne
71;-72;-6,23381;18,7573;9;0,00430866;  3,71291e-10;  32;lokalne;2,04031e-11;  -7,15717e-18;  12;lokalne
72;-22;3,0245;12,5338;6;3,03414;  0,00018412;  28;lokalne;-1,83632e-08;  -7,15042e-18;  5;lokalne
73;-47;0,656661;18,7662;8;0,663669;  8,80913e-06;  32;lokalne;1,75767e-06;  5,46312e-17;  5;lokalne
74;83;57,9755;64,8663;5;62,7509;  -0,921148;  28;globalne;62,7482;  -0,921148;  24;globalne
75;-63;2,76619;27,7573;9;2,77586;  0,000154108;  32;lokalne;0,00611689;  7,48327e-10;  5;lokalne
76;70;60,478;63,1;2;62,7453;  -0,921148;  24;globalne;62,7482;  -0,921148;  22;globalne
77;30;-17,6567;-4,53381;7;-4,54203;  0,000412601;  30;lokalne;4,91276e-15;  -7,15717e-18;  5;lokalne
78;9;-4,14036;-0,522;3;-0,531598;  5,65192e-06;  24;lokalne;7,96442e-14;  -7,15717e-18;  5;lokalne
79;-14;-0,85964;4,1337;4;-0,000131207;  3,44296e-13;  26;lokalne;3,35779e-13;  -7,15717e-18;  12;lokalne
80;-16;2,1337;9,0245;5;2,14068;  9,16501e-05;  28;lokalne;-1,22835e-09;  -7,15714e-18;  5;lokalne
81;-23;2,0245;11,5338;6;2,03414;  8,27542e-05;  28;lokalne;-7,09525e-09;  -7,15616e-18;  5;lokalne
82;10;-3,14036;0,478;3;-0,00188859;  7,13358e-11;  24;lokalne;2,54095e-13;  -7,15717e-18;  12;lokalne
83;38;-9,65666;3,46619;7;-0,00146536;  4,29457e-11;  30;lokalne;1,58839e-12;  -7,15717e-18;  12;lokalne
84;-39;-4,46619;8,65666;7;0,00396225;  3,13989e-10;  30;lokalne;7,12106e-13;  -7,15717e-18;  12;lokalne
85;76;57,8663;62,8596;4;62,745;  -0,921148;  26;globalne;63,0875;  -0,919419;  5;globalne
86;10;-3,14036;0,478;3;-0,00188859;  7,13358e-11;  24;lokalne;2,54095e-13;  -7,15717e-18;  12;lokalne
87;53;62,522;66,1404;3;62,7523;  -0,921148;  24;globalne;62,7482;  -0,921148;  24;globalne
88;64;59;69;0;62,7508;  -0,921148;  30;globalne;62,7482;  -0,921148;  26;globalne
89;99;51,3433;64,4662;7;62,7488;  -0,921148;  30;globalne;66,4829;  -0,729115;  5;globalne
90;11;-2,14036;1,478;3;-5,687e-05;  6,46768e-14;  24;lokalne;2,6601e-13;  -7,15717e-18;  12;lokalne
91;56;62,9;65,522;2;62,907;  -0,92077;  24;globalne;62,6808;  -0,92108;  5;globalne
92;89;54,4662;63,9755;6;62,7519;  -0,921148;  28;globalne;62,7482;  -0,921148;  30;globalne
93;-34;0,533812;13,6567;7;0,542029;  5,87592e-06;  30;lokalne;-1,39975e-08;  -7,15325e-18;  5;lokalne
94;21;-4,0245;2,8663;5;-0,00312007;  1,94697e-10;  28;lokalne;4,63002e-13;  -7,15717e-18;  12;lokalne
95;-41;-6,46619;6,65666;7;0,000738844;  1,09178e-11;  30;lokalne;2,35495e-13;  -7,15717e-18;  12;lokalne
96;45;63,1337;70,0245;5;63,1407;  -0,918835;  28;globalne;60,8442;  -0,868298;  5;globalne
97;-18;0,133697;7,0245;5;0,140678;  3,95808e-07;  28;lokalne;-8,10051e-11;  -7,15717e-18;  5;lokalne
