t(s); V(A); V(B); temp(B);
283; 2,84036; 2,23657; 49,9782; 
284; 2,8338; 2,23817; 49,9762; 
285; 2,82725; 2,23975; 49,974; 
286; 2,82071; 2,24133; 49,9716; 
287; 2,81418; 2,24289; 49,9692; 
288; 2,80765; 2,24443; 49,9666; 
289; 2,80114; 2,24597; 49,9639; 
290; 2,79463; 2,24749; 49,961; 
291; 2,78812; 2,249; 49,958; 
292; 2,78163; 2,25049; 49,9549; 
293; 2,77514; 2,25198; 49,9517; 
294; 2,76866; 2,25345; 49,9483; 
295; 2,76219; 2,25491; 49,9448; 
296; 2,75572; 2,25635; 49,9412; 
297; 2,74927; 2,25778; 49,9375; 
298; 2,74282; 2,25921; 49,9336; 
299; 2,73637; 2,26062; 49,9296; 
300; 2,72994; 2,26201; 49,9256; 
301; 2,72351; 2,2634; 49,9213; 
302; 2,71709; 2,26477; 49,917; 
303; 2,71068; 2,26613; 49,9126; 
304; 2,70428; 2,26748; 49,908; 
305; 2,69788; 2,26881; 49,9033; 
306; 2,69149; 2,27014; 49,8985; 
307; 2,68511; 2,27145; 49,8936; 
308; 2,67874; 2,27275; 49,8886; 
309; 2,67237; 2,27404; 49,8835; 
310; 2,66601; 2,27532; 49,8783; 
311; 2,65966; 2,27658; 49,8729; 
312; 2,65332; 2,27784; 49,8675; 
313; 2,64698; 2,27908; 49,8619; 
314; 2,64065; 2,28031; 49,8562; 
315; 2,63433; 2,28152; 49,8505; 
316; 2,62802; 2,28273; 49,8446; 
317; 2,62171; 2,28393; 49,8386; 
318; 2,61541; 2,28511; 49,8325; 
319; 2,60912; 2,28628; 49,8263; 
320; 2,60284; 2,28744; 49,82; 
321; 2,59656; 2,28859; 49,8137; 
322; 2,5903; 2,28973; 49,8072; 
323; 2,58404; 2,29086; 49,8006; 
324; 2,57778; 2,29197; 49,7939; 
325; 2,57154; 2,29308; 49,7871; 
326; 2,5653; 2,29417; 49,7802; 
327; 2,55907; 2,29525; 49,7732; 
328; 2,55285; 2,29632; 49,7661; 
329; 2,54663; 2,29738; 49,759; 
330; 2,54043; 2,29843; 49,7517; 
331; 2,53423; 2,29947; 49,7443; 
332; 2,52803; 2,30049; 49,7369; 
333; 2,52185; 2,30151; 49,7293; 
334; 2,51567; 2,30251; 49,7217; 
335; 2,5095; 2,30351; 49,7139; 
336; 2,50334; 2,30449; 49,7061; 
337; 2,49719; 2,30546; 49,6982; 
338; 2,49104; 2,30642; 49,6902; 
339; 2,4849; 2,30737; 49,6821; 
340; 2,47877; 2,30831; 49,6739; 
341; 2,47265; 2,30924; 49,6657; 
342; 2,46653; 2,31016; 49,6573; 
343; 2,46042; 2,31107; 49,6488; 
344; 2,45432; 2,31197; 49,6403; 
345; 2,44823; 2,31286; 49,6317; 
346; 2,44214; 2,31373; 49,623; 
347; 2,43606; 2,3146; 49,6142; 
348; 2,42999; 2,31545; 49,6053; 
349; 2,42393; 2,3163; 49,5964; 
350; 2,41787; 2,31713; 49,5873; 
351; 2,41182; 2,31796; 49,5782; 
352; 2,40578; 2,31877; 49,569; 
353; 2,39975; 2,31958; 49,5597; 
354; 2,39372; 2,32037; 49,5504; 
355; 2,38771; 2,32116; 49,5409; 
356; 2,3817; 2,32193; 49,5314; 
357; 2,37569; 2,32269; 49,5218; 
358; 2,3697; 2,32345; 49,5121; 
359; 2,36371; 2,32419; 49,5024; 
360; 2,35773; 2,32492; 49,4925; 
361; 2,35176; 2,32565; 49,4826; 
362; 2,34579; 2,32636; 49,4726; 
363; 2,33983; 2,32706; 49,4626; 
364; 2,33388; 2,32776; 49,4524; 
365; 2,32794; 2,32844; 49,4422; 
366; 2,32201; 2,32912; 49,4319; 
367; 2,31608; 2,32978; 49,4215; 
368; 2,31016; 2,33044; 49,4111; 
369; 2,30425; 2,33108; 49,4006; 
370; 2,29835; 2,33172; 49,39; 
371; 2,29245; 2,33234; 49,3793; 
372; 2,28656; 2,33296; 49,3686; 
373; 2,28068; 2,33357; 49,3578; 
374; 2,2748; 2,33416; 49,3469; 
375; 2,26894; 2,33475; 49,336; 
376; 2,26308; 2,33533; 49,3249; 
377; 2,25723; 2,3359; 49,3139; 
378; 2,25138; 2,33646; 49,3027; 
379; 2,24555; 2,33701; 49,2915; 
380; 2,23972; 2,33755; 49,2802; 
381; 2,2339; 2,33808; 49,2688; 
382; 2,22808; 2,3386; 49,2574; 
383; 2,22228; 2,33911; 49,2459; 
384; 2,21648; 2,33962; 49,2343; 
385; 2,21069; 2,34011; 49,2226; 
386; 2,20491; 2,34059; 49,2109; 
387; 2,19913; 2,34107; 49,1992; 
388; 2,19336; 2,34154; 49,1873; 
389; 2,1876; 2,34199; 49,1754; 
390; 2,18185; 2,34244; 49,1634; 
391; 2,1761; 2,34288; 49,1514; 
392; 2,17037; 2,34331; 49,1393; 
393; 2,16464; 2,34373; 49,1271; 
394; 2,15891; 2,34415; 49,1149; 
395; 2,1532; 2,34455; 49,1026; 
396; 2,14749; 2,34495; 49,0903; 
397; 2,14179; 2,34533; 49,0778; 
398; 2,1361; 2,34571; 49,0654; 
399; 2,13041; 2,34608; 49,0528; 
400; 2,12474; 2,34644; 49,0402; 
401; 2,11907; 2,34679; 49,0275; 
402; 2,11341; 2,34713; 49,0148; 
403; 2,10775; 2,34746; 49,002; 
404; 2,10211; 2,34779; 48,9892; 
405; 2,09647; 2,3481; 48,9762; 
406; 2,09083; 2,34841; 48,9633; 
407; 2,08521; 2,34871; 48,9502; 
408; 2,07959; 2,349; 48,9371; 
409; 2,07398; 2,34928; 48,924; 
410; 2,06838; 2,34956; 48,9108; 
411; 2,06279; 2,34982; 48,8975; 
412; 2,0572; 2,35008; 48,8842; 
413; 2,05162; 2,35033; 48,8708; 
414; 2,04605; 2,35057; 48,8573; 
415; 2,04049; 2,3508; 48,8438; 
416; 2,03493; 2,35102; 48,8302; 
417; 2,02939; 2,35124; 48,8166; 
418; 2,02385; 2,35144; 48,8029; 
419; 2,01831; 2,35164; 48,7892; 
420; 2,01279; 2,35183; 48,7754; 
421; 2,00727; 2,35201; 48,7615; 
422; 2,00176; 2,35219; 48,7476; 
423; 1,99625; 2,35235; 48,7337; 
424; 1,99076; 2,35251; 48,7197; 
425; 1,98527; 2,35266; 48,7056; 
426; 1,97979; 2,3528; 48,6914; 
427; 1,97432; 2,35294; 48,6773; 
428; 1,96885; 2,35306; 48,663; 
429; 1,9634; 2,35318; 48,6487; 
430; 1,95795; 2,35329; 48,6344; 
431; 1,9525; 2,35339; 48,62; 
432; 1,94707; 2,35348; 48,6055; 
433; 1,94164; 2,35357; 48,591; 
434; 1,93622; 2,35365; 48,5764; 
435; 1,93081; 2,35372; 48,5618; 
436; 1,92541; 2,35378; 48,5471; 
437; 1,92001; 2,35384; 48,5324; 
438; 1,91462; 2,35388; 48,5176; 
439; 1,90924; 2,35392; 48,5028; 
440; 1,90386; 2,35395; 48,4879; 
441; 1,8985; 2,35398; 48,473; 
442; 1,89314; 2,35399; 48,458; 
443; 1,88779; 2,354; 48,443; 
444; 1,88244; 2,354; 48,4279; 
445; 1,87711; 2,354; 48,4127; 
446; 1,87178; 2,35398; 48,3976; 
447; 1,86646; 2,35396; 48,3823; 
448; 1,86114; 2,35393; 48,367; 
449; 1,85584; 2,3539; 48,3517; 
450; 1,85054; 2,35385; 48,3363; 
451; 1,84525; 2,3538; 48,3208; 
452; 1,83997; 2,35374; 48,3053; 
453; 1,83469; 2,35368; 48,2898; 
454; 1,82942; 2,3536; 48,2742; 
455; 1,82416; 2,35352; 48,2585; 
456; 1,81891; 2,35343; 48,2429; 
457; 1,81366; 2,35334; 48,2271; 
458; 1,80843; 2,35324; 48,2113; 
459; 1,8032; 2,35313; 48,1955; 
460; 1,79797; 2,35301; 48,1796; 
461; 1,79276; 2,35289; 48,1636; 
462; 1,78755; 2,35275; 48,1477; 
463; 1,78235; 2,35262; 48,1316; 
464; 1,77716; 2,35247; 48,1155; 
465; 1,77197; 2,35232; 48,0994; 
466; 1,7668; 2,35216; 48,0832; 
467; 1,76163; 2,35199; 48,067; 
468; 1,75646; 2,35182; 48,0507; 
469; 1,75131; 2,35164; 48,0344; 
470; 1,74616; 2,35145; 48,018; 
471; 1,74102; 2,35125; 48,0016; 
472; 1,73589; 2,35105; 47,9852; 
473; 1,73077; 2,35084; 47,9687; 
474; 1,72565; 2,35063; 47,9521; 
475; 1,72054; 2,3504; 47,9355; 
476; 1,71544; 2,35018; 47,9188; 
477; 1,71035; 2,34994; 47,9021; 
478; 1,70526; 2,3497; 47,8854; 
479; 1,70018; 2,34945; 47,8686; 
480; 1,69511; 2,34919; 47,8518; 
481; 1,69005; 2,34893; 47,8349; 
482; 1,68499; 2,34866; 47,818; 
483; 1,67994; 2,34838; 47,801; 
484; 1,6749; 2,3481; 47,784; 
485; 1,66987; 2,34781; 47,7669; 
486; 1,66484; 2,34751; 47,7498; 
487; 1,65982; 2,34721; 47,7327; 
488; 1,65481; 2,3469; 47,7155; 
489; 1,64981; 2,34658; 47,6982; 
490; 1,64482; 2,34626; 47,6809; 
491; 1,63983; 2,34593; 47,6636; 
492; 1,63485; 2,3456; 47,6462; 
493; 1,62987; 2,34525; 47,6288; 
494; 1,62491; 2,34491; 47,6114; 
495; 1,61995; 2,34455; 47,5938; 
496; 1,615; 2,34419; 47,5763; 
497; 1,61006; 2,34382; 47,5587; 
498; 1,60512; 2,34345; 47,5411; 
499; 1,6002; 2,34307; 47,5234; 
500; 1,59528; 2,34268; 47,5056; 
501; 1,59037; 2,34229; 47,4879; 
502; 1,58546; 2,34189; 47,4701; 
503; 1,58056; 2,34148; 47,4522; 
504; 1,57567; 2,34107; 47,4343; 
505; 1,57079; 2,34065; 47,4164; 
506; 1,56592; 2,34023; 47,3984; 
507; 1,56105; 2,3398; 47,3803; 
508; 1,55619; 2,33936; 47,3623; 
509; 1,55134; 2,33892; 47,3442; 
510; 1,5465; 2,33847; 47,326; 
511; 1,54166; 2,33802; 47,3078; 
512; 1,53683; 2,33755; 47,2896; 
513; 1,53201; 2,33709; 47,2713; 
514; 1,5272; 2,33661; 47,2529; 
515; 1,52239; 2,33613; 47,2346; 
516; 1,51759; 2,33565; 47,2162; 
517; 1,5128; 2,33516; 47,1977; 
518; 1,50802; 2,33466; 47,1792; 
519; 1,50324; 2,33416; 47,1607; 
520; 1,49847; 2,33365; 47,1421; 
521; 1,49371; 2,33313; 47,1235; 
522; 1,48896; 2,33261; 47,1048; 
523; 1,48422; 2,33209; 47,0861; 
524; 1,47948; 2,33156; 47,0674; 
525; 1,47475; 2,33102; 47,0486; 
526; 1,47002; 2,33047; 47,0297; 
527; 1,46531; 2,32992; 47,0109; 
528; 1,4606; 2,32937; 46,992; 
529; 1,4559; 2,32881; 46,973; 
530; 1,45121; 2,32824; 46,954; 
531; 1,44652; 2,32767; 46,935; 
532; 1,44185; 2,32709; 46,9159; 
533; 1,43718; 2,3265; 46,8968; 
534; 1,43252; 2,32591; 46,8776; 
535; 1,42786; 2,32532; 46,8584; 
536; 1,42321; 2,32472; 46,8392; 
537; 1,41857; 2,32411; 46,8199; 
538; 1,41394; 2,3235; 46,8006; 
539; 1,40932; 2,32288; 46,7812; 
540; 1,4047; 2,32226; 46,7618; 
541; 1,40009; 2,32163; 46,7424; 
542; 1,39549; 2,321; 46,7229; 
543; 1,3909; 2,32036; 46,7034; 
544; 1,38631; 2,31971; 46,6838; 
545; 1,38173; 2,31906; 46,6642; 
546; 1,37716; 2,3184; 46,6446; 
547; 1,3726; 2,31774; 46,6249; 
548; 1,36804; 2,31707; 46,6052; 
549; 1,36349; 2,3164; 46,5854; 
550; 1,35895; 2,31572; 46,5656; 
551; 1,35442; 2,31504; 46,5458; 
552; 1,34989; 2,31435; 46,5259; 
553; 1,34537; 2,31366; 46,506; 
554; 1,34086; 2,31296; 46,486; 
555; 1,33636; 2,31226; 46,466; 
556; 1,33186; 2,31155; 46,446; 
557; 1,32738; 2,31083; 46,4259; 
558; 1,3229; 2,31011; 46,4058; 
559; 1,31842; 2,30939; 46,3856; 
560; 1,31396; 2,30866; 46,3654; 
561; 1,3095; 2,30792; 46,3452; 
562; 1,30505; 2,30718; 46,3249; 
563; 1,30061; 2,30644; 46,3046; 
564; 1,29617; 2,30569; 46,2843; 
565; 1,29175; 2,30493; 46,2639; 
566; 1,28733; 2,30417; 46,2434; 
567; 1,28291; 2,3034; 46,223; 
568; 1,27851; 2,30263; 46,2024; 
569; 1,27411; 2,30186; 46,1819; 
570; 1,26972; 2,30107; 46,1613; 
571; 1,26534; 2,30029; 46,1407; 
572; 1,26097; 2,2995; 46,12; 
573; 1,2566; 2,2987; 46,0993; 
574; 1,25224; 2,2979; 46,0786; 
575; 1,24789; 2,29709; 46,0578; 
576; 1,24354; 2,29628; 46,037; 
577; 1,23921; 2,29547; 46,0161; 
578; 1,23488; 2,29465; 45,9952; 
579; 1,23056; 2,29382; 45,9743; 
580; 1,22624; 2,29299; 45,9533; 
581; 1,22194; 2,29216; 45,9323; 
582; 1,21764; 2,29132; 45,9112; 
583; 1,21335; 2,29047; 45,8901; 
584; 1,20906; 2,28962; 45,869; 
585; 1,20479; 2,28877; 45,8478; 
586; 1,20052; 2,28791; 45,8266; 
587; 1,19626; 2,28705; 45,8054; 
588; 1,19201; 2,28618; 45,7841; 
589; 1,18776; 2,2853; 45,7628; 
590; 1,18352; 2,28443; 45,7414; 
591; 1,17929; 2,28354; 45,72; 
592; 1,17507; 2,28266; 45,6986; 
593; 1,17085; 2,28177; 45,6771; 
594; 1,16665; 2,28087; 45,6556; 
595; 1,16245; 2,27997; 45,634; 
596; 1,15825; 2,27906; 45,6124; 
597; 1,15407; 2,27815; 45,5908; 
598; 1,14989; 2,27724; 45,5691; 
599; 1,14572; 2,27632; 45,5474; 
600; 1,14156; 2,2754; 45,5257; 
601; 1,13741; 2,27447; 45,5039; 
602; 1,13326; 2,27353; 45,4821; 
603; 1,12912; 2,2726; 45,4602; 
604; 1,12499; 2,27166; 45,4383; 
605; 1,12086; 2,27071; 45,4164; 
606; 1,11675; 2,26976; 45,3944; 
607; 1,11264; 2,2688; 45,3724; 
608; 1,10853; 2,26785; 45,3504; 
609; 1,10444; 2,26688; 45,3283; 
610; 1,10035; 2,26591; 45,3061; 
611; 1,09627; 2,26494; 45,284; 
612; 1,0922; 2,26396; 45,2618; 
613; 1,08814; 2,26298; 45,2395; 
614; 1,08408; 2,262; 45,2173; 
615; 1,08003; 2,26101; 45,1949; 
616; 1,07599; 2,26001; 45,1726; 
617; 1,07196; 2,25902; 45,1502; 
618; 1,06793; 2,25801; 45,1278; 
619; 1,06392; 2,25701; 45,1053; 
620; 1,05991; 2,256; 45,0828; 
621; 1,0559; 2,25498; 45,0603; 
622; 1,05191; 2,25396; 45,0377; 
623; 1,04792; 2,25294; 45,0151; 
624; 1,04394; 2,25191; 44,9924; 
625; 1,03997; 2,25088; 44,9697; 
626; 1,036; 2,24984; 44,947; 
627; 1,03204; 2,2488; 44,9242; 
628; 1,02809; 2,24776; 44,9014; 
629; 1,02415; 2,24671; 44,8786; 
630; 1,02021; 2,24566; 44,8557; 
631; 1,01629; 2,2446; 44,8328; 
632; 1,01237; 2,24354; 44,8098; 
633; 1,00845; 2,24248; 44,7868; 
634; 1,00455; 2,24141; 44,7638; 
635; 1,00065; 2,24034; 44,7407; 
636; 0,996763; 2,23926; 44,7176; 
