t(s); V(A); V(B); temp(B);
252; 3,04495; 2,18189; 49,9887; 
253; 3,03815; 2,18391; 49,9915; 
254; 3,03136; 2,18592; 49,994; 
255; 3,02458; 2,18791; 49,9965; 
256; 3,01781; 2,18989; 49,9987; 
257; 3,01104; 2,19186; 50,0008; 
258; 3,00428; 2,19381; 50,0026; 
259; 2,99753; 2,19575; 50,0044; 
260; 2,99078; 2,19767; 50,0059; 
261; 2,98405; 2,19958; 50,0073; 
262; 2,97732; 2,20147; 50,0085; 
263; 2,9706; 2,20335; 50,0096; 
264; 2,96388; 2,20522; 50,0104; 
265; 2,95718; 2,20708; 50,0112; 
266; 2,95048; 2,20891; 50,0117; 
267; 2,94379; 2,21074; 50,0121; 
268; 2,9371; 2,21255; 50,0124; 
269; 2,93043; 2,21435; 50,0125; 
270; 2,92376; 2,21613; 50,0124; 
271; 2,9171; 2,21791; 50,0122; 
272; 2,91045; 2,21966; 50,0118; 
273; 2,9038; 2,22141; 50,0113; 
274; 2,89716; 2,22314; 50,0106; 
275; 2,89053; 2,22485; 50,0098; 
276; 2,88391; 2,22656; 50,0089; 
277; 2,8773; 2,22825; 50,0078; 
278; 2,87069; 2,22993; 50,0065; 
279; 2,86409; 2,23159; 50,0051; 
280; 2,8575; 2,23324; 50,0036; 
281; 2,85091; 2,23488; 50,0019; 
282; 2,84433; 2,2365; 50,0001; 
283; 2,83776; 2,23812; 49,9982; 
284; 2,8312; 2,23971; 49,9961; 
285; 2,82465; 2,2413; 49,9939; 
286; 2,8181; 2,24287; 49,9915; 
287; 2,81156; 2,24443; 49,989; 
288; 2,80503; 2,24598; 49,9864; 
289; 2,79851; 2,24752; 49,9836; 
290; 2,79199; 2,24904; 49,9808; 
291; 2,78548; 2,25055; 49,9778; 
292; 2,77898; 2,25204; 49,9746; 
293; 2,77249; 2,25353; 49,9714; 
294; 2,766; 2,255; 49,968; 
295; 2,75952; 2,25646; 49,9645; 
296; 2,75305; 2,25791; 49,9608; 
297; 2,74659; 2,25934; 49,9571; 
298; 2,74013; 2,26076; 49,9532; 
299; 2,73369; 2,26217; 49,9492; 
300; 2,72725; 2,26357; 49,9451; 
301; 2,72081; 2,26496; 49,9408; 
302; 2,71439; 2,26633; 49,9365; 
303; 2,70797; 2,26769; 49,932; 
304; 2,70156; 2,26904; 49,9274; 
305; 2,69516; 2,27038; 49,9227; 
306; 2,68876; 2,2717; 49,9179; 
307; 2,68238; 2,27301; 49,913; 
308; 2,676; 2,27431; 49,908; 
309; 2,66962; 2,2756; 49,9028; 
310; 2,66326; 2,27688; 49,8976; 
311; 2,6569; 2,27815; 49,8922; 
312; 2,65055; 2,2794; 49,8867; 
313; 2,64421; 2,28064; 49,8811; 
314; 2,63788; 2,28187; 49,8754; 
315; 2,63155; 2,28309; 49,8696; 
316; 2,62523; 2,2843; 49,8637; 
317; 2,61892; 2,28549; 49,8577; 
318; 2,61262; 2,28668; 49,8516; 
319; 2,60632; 2,28785; 49,8454; 
320; 2,60003; 2,28901; 49,8391; 
321; 2,59375; 2,29016; 49,8327; 
322; 2,58748; 2,2913; 49,8262; 
323; 2,58121; 2,29242; 49,8195; 
324; 2,57496; 2,29354; 49,8128; 
325; 2,56871; 2,29464; 49,806; 
326; 2,56246; 2,29574; 49,7991; 
327; 2,55623; 2,29682; 49,7921; 
328; 2,55; 2,29789; 49,785; 
329; 2,54378; 2,29895; 49,7778; 
330; 2,53757; 2,3; 49,7705; 
331; 2,53136; 2,30103; 49,7631; 
332; 2,52517; 2,30206; 49,7556; 
333; 2,51898; 2,30308; 49,748; 
334; 2,51279; 2,30408; 49,7404; 
335; 2,50662; 2,30507; 49,7326; 
336; 2,50045; 2,30606; 49,7248; 
337; 2,49429; 2,30703; 49,7168; 
338; 2,48814; 2,30799; 49,7088; 
339; 2,482; 2,30894; 49,7007; 
340; 2,47586; 2,30988; 49,6925; 
341; 2,46973; 2,31081; 49,6842; 
342; 2,46361; 2,31173; 49,6758; 
343; 2,4575; 2,31264; 49,6673; 
344; 2,45139; 2,31353; 49,6587; 
345; 2,44529; 2,31442; 49,6501; 
346; 2,4392; 2,3153; 49,6414; 
347; 2,43312; 2,31616; 49,6326; 
348; 2,42704; 2,31702; 49,6237; 
349; 2,42097; 2,31786; 49,6147; 
350; 2,41491; 2,3187; 49,6056; 
351; 2,40886; 2,31952; 49,5965; 
352; 2,40281; 2,32034; 49,5872; 
353; 2,39678; 2,32114; 49,5779; 
354; 2,39075; 2,32193; 49,5685; 
355; 2,38472; 2,32272; 49,5591; 
356; 2,37871; 2,32349; 49,5495; 
357; 2,3727; 2,32425; 49,5399; 
358; 2,3667; 2,32501; 49,5302; 
359; 2,36071; 2,32575; 49,5204; 
360; 2,35473; 2,32648; 49,5105; 
361; 2,34875; 2,32721; 49,5006; 
362; 2,34278; 2,32792; 49,4906; 
363; 2,33682; 2,32862; 49,4805; 
364; 2,33086; 2,32931; 49,4703; 
365; 2,32492; 2,33; 49,46; 
366; 2,31898; 2,33067; 49,4497; 
367; 2,31305; 2,33134; 49,4393; 
368; 2,30712; 2,33199; 49,4289; 
369; 2,30121; 2,33263; 49,4183; 
370; 2,2953; 2,33327; 49,4077; 
371; 2,2894; 2,33389; 49,397; 
372; 2,2835; 2,33451; 49,3862; 
373; 2,27762; 2,33511; 49,3754; 
374; 2,27174; 2,33571; 49,3645; 
375; 2,26587; 2,3363; 49,3535; 
376; 2,26; 2,33688; 49,3425; 
377; 2,25415; 2,33744; 49,3313; 
378; 2,2483; 2,338; 49,3202; 
379; 2,24246; 2,33855; 49,3089; 
380; 2,23663; 2,33909; 49,2976; 
381; 2,2308; 2,33962; 49,2862; 
382; 2,22499; 2,34014; 49,2747; 
383; 2,21918; 2,34065; 49,2632; 
384; 2,21337; 2,34115; 49,2516; 
385; 2,20758; 2,34165; 49,2399; 
386; 2,20179; 2,34213; 49,2282; 
387; 2,19601; 2,34261; 49,2164; 
388; 2,19024; 2,34307; 49,2045; 
389; 2,18448; 2,34353; 49,1925; 
390; 2,17872; 2,34398; 49,1805; 
391; 2,17297; 2,34441; 49,1685; 
392; 2,16723; 2,34484; 49,1563; 
393; 2,16149; 2,34526; 49,1441; 
394; 2,15577; 2,34568; 49,1319; 
395; 2,15005; 2,34608; 49,1196; 
396; 2,14434; 2,34647; 49,1072; 
397; 2,13863; 2,34686; 49,0947; 
398; 2,13294; 2,34723; 49,0822; 
399; 2,12725; 2,3476; 49,0696; 
400; 2,12157; 2,34796; 49,057; 
401; 2,1159; 2,34831; 49,0443; 
402; 2,11023; 2,34865; 49,0315; 
403; 2,10457; 2,34898; 49,0187; 
404; 2,09892; 2,3493; 49,0058; 
405; 2,09328; 2,34962; 48,9929; 
406; 2,08764; 2,34993; 48,9799; 
407; 2,08202; 2,35022; 48,9668; 
408; 2,0764; 2,35051; 48,9537; 
409; 2,07078; 2,35079; 48,9405; 
410; 2,06518; 2,35106; 48,9272; 
411; 2,05958; 2,35133; 48,9139; 
412; 2,05399; 2,35158; 48,9005; 
413; 2,04841; 2,35183; 48,8871; 
414; 2,04284; 2,35207; 48,8736; 
415; 2,03727; 2,3523; 48,8601; 
416; 2,03171; 2,35252; 48,8465; 
417; 2,02616; 2,35273; 48,8328; 
418; 2,02061; 2,35294; 48,8191; 
419; 2,01508; 2,35314; 48,8054; 
420; 2,00955; 2,35332; 48,7915; 
421; 2,00403; 2,35351; 48,7776; 
422; 1,99851; 2,35368; 48,7637; 
423; 1,99301; 2,35384; 48,7497; 
424; 1,98751; 2,354; 48,7357; 
425; 1,98202; 2,35415; 48,7215; 
426; 1,97653; 2,35429; 48,7074; 
427; 1,97106; 2,35442; 48,6932; 
428; 1,96559; 2,35454; 48,6789; 
429; 1,96013; 2,35466; 48,6646; 
430; 1,95468; 2,35476; 48,6502; 
431; 1,94923; 2,35486; 48,6357; 
432; 1,94379; 2,35496; 48,6212; 
433; 1,93836; 2,35504; 48,6067; 
434; 1,93294; 2,35512; 48,5921; 
435; 1,92753; 2,35519; 48,5774; 
436; 1,92212; 2,35525; 48,5627; 
437; 1,91672; 2,3553; 48,548; 
438; 1,91133; 2,35534; 48,5332; 
439; 1,90594; 2,35538; 48,5183; 
440; 1,90057; 2,35541; 48,5034; 
441; 1,8952; 2,35543; 48,4884; 
442; 1,88983; 2,35545; 48,4734; 
443; 1,88448; 2,35545; 48,4583; 
444; 1,87913; 2,35545; 48,4432; 
445; 1,87379; 2,35545; 48,428; 
446; 1,86846; 2,35543; 48,4128; 
447; 1,86314; 2,35541; 48,3975; 
448; 1,85782; 2,35537; 48,3822; 
449; 1,85251; 2,35534; 48,3668; 
450; 1,84721; 2,35529; 48,3514; 
451; 1,84192; 2,35524; 48,3359; 
452; 1,83663; 2,35518; 48,3203; 
453; 1,83136; 2,35511; 48,3048; 
454; 1,82609; 2,35503; 48,2891; 
455; 1,82082; 2,35495; 48,2734; 
456; 1,81557; 2,35486; 48,2577; 
457; 1,81032; 2,35476; 48,2419; 
458; 1,80508; 2,35466; 48,2261; 
459; 1,79985; 2,35454; 48,2102; 
460; 1,79462; 2,35443; 48,1943; 
461; 1,7894; 2,3543; 48,1783; 
462; 1,78419; 2,35417; 48,1623; 
463; 1,77899; 2,35402; 48,1462; 
464; 1,7738; 2,35388; 48,1301; 
465; 1,76861; 2,35372; 48,1139; 
466; 1,76343; 2,35356; 48,0977; 
467; 1,75826; 2,35339; 48,0815; 
468; 1,75309; 2,35321; 48,0651; 
469; 1,74794; 2,35303; 48,0488; 
470; 1,74279; 2,35284; 48,0324; 
471; 1,73765; 2,35264; 48,0159; 
472; 1,73251; 2,35244; 47,9994; 
473; 1,72739; 2,35223; 47,9829; 
474; 1,72227; 2,35201; 47,9663; 
475; 1,71716; 2,35179; 47,9496; 
476; 1,71205; 2,35155; 47,9329; 
477; 1,70696; 2,35132; 47,9162; 
478; 1,70187; 2,35107; 47,8994; 
479; 1,69679; 2,35082; 47,8826; 
480; 1,69171; 2,35056; 47,8657; 
481; 1,68665; 2,35029; 47,8488; 
482; 1,68159; 2,35002; 47,8318; 
483; 1,67654; 2,34974; 47,8148; 
484; 1,6715; 2,34946; 47,7978; 
485; 1,66646; 2,34917; 47,7807; 
486; 1,66143; 2,34887; 47,7635; 
487; 1,65641; 2,34856; 47,7463; 
488; 1,6514; 2,34825; 47,7291; 
489; 1,6464; 2,34793; 47,7118; 
490; 1,6414; 2,34761; 47,6945; 
491; 1,63641; 2,34727; 47,6771; 
492; 1,63143; 2,34694; 47,6597; 
493; 1,62645; 2,34659; 47,6422; 
494; 1,62149; 2,34624; 47,6247; 
495; 1,61653; 2,34588; 47,6072; 
496; 1,61158; 2,34552; 47,5896; 
497; 1,60663; 2,34515; 47,572; 
498; 1,6017; 2,34477; 47,5543; 
499; 1,59677; 2,34439; 47,5365; 
500; 1,59185; 2,344; 47,5188; 
501; 1,58693; 2,3436; 47,501; 
502; 1,58203; 2,3432; 47,4831; 
503; 1,57713; 2,34279; 47,4652; 
504; 1,57224; 2,34238; 47,4473; 
505; 1,56735; 2,34196; 47,4293; 
506; 1,56248; 2,34153; 47,4113; 
507; 1,55761; 2,3411; 47,3932; 
508; 1,55275; 2,34066; 47,3751; 
509; 1,5479; 2,34021; 47,3569; 
510; 1,54305; 2,33976; 47,3387; 
511; 1,53821; 2,3393; 47,3205; 
512; 1,53338; 2,33884; 47,3022; 
513; 1,52856; 2,33837; 47,2839; 
514; 1,52375; 2,33789; 47,2655; 
515; 1,51894; 2,33741; 47,2471; 
516; 1,51414; 2,33692; 47,2286; 
517; 1,50935; 2,33643; 47,2101; 
518; 1,50456; 2,33593; 47,1916; 
519; 1,49979; 2,33542; 47,173; 
520; 1,49502; 2,33491; 47,1544; 
521; 1,49025; 2,33439; 47,1357; 
522; 1,4855; 2,33387; 47,117; 
